i,im[i]= 0 10
i,im[i]= 1 2
i,im[i]= 2 3
i,im[i]= 3 7
i,im[i]= 4 12
i,im[i]= 5 19
i,im[i]= 6 2
i,im[i]= 7 1
i,im[i]= 8 3
i,im[i]= 9 2
i,im[i]= 10 1
i,im[i]= 11 2
i,im[i]= 12 2
i,im[i]= 13 2
i,im[i]= 14 4
i,im[i]= 15 7
i,im[i]= 16 13
i,im[i]= 17 18
i,im[i]= 18 66
i,im[i]= 19 16
i,im[i]= 20 14
i,im[i]= 21 6
i,im[i]= 22 6
i,im[i]= 23 8
i,im[i]= 24 13
i,im[i]= 25 8
i,im[i]= 26 11
i,im[i]= 27 17
i,im[i]= 28 11
i,im[i]= 29 9
i,im[i]= 30 12
i,im[i]= 31 18
i,im[i]= 32 10
i,im[i]= 33 13
i,im[i]= 34 10
i,im[i]= 35 14
i,im[i]= 36 20
i,im[i]= 37 11
i,im[i]= 38 14
i,im[i]= 39 19
i,im[i]= 40 13
i,im[i]= 41 14
ic,j,angleg[ic][j]= 26 0 1.633008e-001
ic,j,angleg[ic][j]= 26 1 2.668527e-001
ic,j,angleg[ic][j]= 26 2 5.252334e-001
ic,j,angleg[ic][j]= 26 3 6.059728e-001
ic,j,angleg[ic][j]= 26 4 1.190671e+000
ic,j,angleg[ic][j]= 26 5 1.343661e+000
ic,j,angleg[ic][j]= 26 6 3.095687e+000
ic,j,angleg[ic][j]= 26 7 3.242729e+000
ic,j,angleg[ic][j]= 26 8 3.751135e+000
ic,j,angleg[ic][j]= 26 9 6.153267e+000
ic,j,angleg[ic][j]= 26 10 6.236744e+000
ic,j,angleg[ic][j]= 27 0 1.471399e-002
ic,j,angleg[ic][j]= 27 1 4.254985e-002
ic,j,angleg[ic][j]= 27 2 5.299476e-001
ic,j,angleg[ic][j]= 27 3 7.051252e-001
ic,j,angleg[ic][j]= 27 4 7.136430e-001
ic,j,angleg[ic][j]= 27 5 1.117123e+000
ic,j,angleg[ic][j]= 27 6 1.128567e+000
ic,j,angleg[ic][j]= 27 7 1.249866e+000
ic,j,angleg[ic][j]= 27 8 2.801870e+000
ic,j,angleg[ic][j]= 27 9 4.031628e+000
ic,j,angleg[ic][j]= 27 10 4.228298e+000
ic,j,angleg[ic][j]= 27 11 4.379617e+000
ic,j,angleg[ic][j]= 27 12 4.617007e+000
ic,j,angleg[ic][j]= 27 13 4.780900e+000
ic,j,angleg[ic][j]= 27 14 5.174129e+000
ic,j,angleg[ic][j]= 27 15 5.644427e+000
ic,j,angleg[ic][j]= 27 16 5.737923e+000
ic,j,angleg[ic][j]= 28 0 1.906619e-002
ic,j,angleg[ic][j]= 28 1 1.150454e-001
ic,j,angleg[ic][j]= 28 2 1.380794e+000
ic,j,angleg[ic][j]= 28 3 1.905563e+000
ic,j,angleg[ic][j]= 28 4 1.907661e+000
ic,j,angleg[ic][j]= 28 5 1.969319e+000
ic,j,angleg[ic][j]= 28 6 3.306339e+000
ic,j,angleg[ic][j]= 28 7 5.819712e+000
ic,j,angleg[ic][j]= 28 8 5.851672e+000
ic,j,angleg[ic][j]= 28 9 5.873998e+000
ic,j,angleg[ic][j]= 28 10 5.880986e+000
ic,j,angleg[ic][j]= 29 0 4.638380e-001
ic,j,angleg[ic][j]= 29 1 5.850972e-001
ic,j,angleg[ic][j]= 29 2 7.421838e-001
ic,j,angleg[ic][j]= 29 3 7.588250e-001
ic,j,angleg[ic][j]= 29 4 3.375043e+000
ic,j,angleg[ic][j]= 29 5 4.997940e+000
ic,j,angleg[ic][j]= 29 6 5.145848e+000
